Round,Raw_Score,Abs_Training_Loss,Diff_Normalized_Reward,Detection_Rate,FP_Rate,Efficiency,Agent_Elo,Elo_Delta,Difficulty_Elo,Elo_Gap,Win_Rate,Difficulty_Frac
1,0.821200,0.178800,0.938807,0.848000,0.007000,0.785000,1009.130000,9.130000,1134.060000,-124.930000,1.000000,0.417575
2,0.831900,0.168100,0.922240,0.858000,0.007000,0.760000,1015.570000,6.440000,1061.220000,-45.650000,1.000000,0.326525
3,0.829100,0.170900,0.920886,0.833000,0.004000,0.785000,1021.720000,6.150000,1065.790000,-44.070000,1.000000,0.332237
4,0.852100,0.147900,0.948035,0.929000,0.008000,0.794000,1029.460000,7.740000,1069.850000,-40.390000,1.000000,0.337312
5,0.829700,0.170300,0.924239,0.868000,0.006000,0.747000,1035.340000,5.880000,1072.770000,-37.430000,1.000000,0.340963
6,0.830700,0.169300,0.927177,0.855000,0.007000,0.756000,1041.240000,5.900000,1077.480000,-36.240000,1.000000,0.346850
7,0.829200,0.170800,0.927452,0.879000,0.006000,0.736000,1046.990000,5.750000,1082.500000,-35.510000,1.000000,0.353125
8,0.840700,0.159300,0.942188,0.891000,0.010000,0.774000,1053.550000,6.560000,1087.240000,-33.690000,1.000000,0.359050
9,0.828100,0.171900,0.929422,0.862000,0.006000,0.752000,1059.030000,5.480000,1090.710000,-31.680000,1.000000,0.363388
10,0.832400,0.167600,0.935824,0.898000,0.008000,0.736000,1064.770000,5.740000,1094.710000,-29.940000,1.000000,0.368388
11,0.831500,0.168500,0.936593,0.877000,0.009000,0.782000,1070.380000,5.610000,1099.220000,-28.840000,1.000000,0.374025
12,0.831400,0.168600,0.937795,0.888000,0.009000,0.739000,1075.880000,5.500000,1102.540000,-26.660000,1.000000,0.378175
13,0.837000,0.163000,0.945876,0.865000,0.007000,0.783000,1081.750000,5.870000,1106.950000,-25.200000,1.000000,0.383688
14,0.824100,0.175900,0.932674,0.889000,0.005000,0.689000,1086.540000,4.790000,1110.430000,-23.890000,1.000000,0.388038
15,0.847300,0.152700,0.960835,0.917000,0.006000,0.783000,1093.040000,6.500000,1115.100000,-22.060000,1.000000,0.393875
16,0.825000,0.175000,0.936466,0.900000,0.007000,0.708000,1097.700000,4.660000,1117.410000,-19.710000,1.000000,0.396763
17,0.827500,0.172500,0.956121,0.888000,0.006000,0.737000,1104.210000,6.510000,1158.730000,-54.520000,1.000000,0.448413
18,0.822300,0.177700,0.952457,0.892000,0.007000,0.733000,1110.290000,6.080000,1164.410000,-54.120000,1.000000,0.455513
19,0.819500,0.180500,0.951338,0.846000,0.007000,0.729000,1116.110000,5.820000,1169.550000,-53.440000,1.000000,0.461937
20,0.831200,0.168800,0.967388,0.900000,0.007000,0.739000,1122.820000,6.710000,1175.410000,-52.590000,1.000000,0.469263
21,0.825800,0.174200,0.968977,0.930000,0.007000,0.670000,1129.660000,6.840000,1194.030000,-64.370000,1.000000,0.492537
